道	0
说	1
中	2
说道	3
听	4
令狐冲	5
张无忌	6
派	7
武功	8
想	9
一声	10
师父	11
段誉	12
弟子	13
瞧	14
不知	15
心中	16
杀	17
走	18
笑	19
事	20
石破天	21
之中	22
二人	23
心想	24
便是	25
死	26
做	27
请	28
倒	29
时	30
剑	31
只见	32
虚竹	33
教主	34
众人	35
剑法	36
长剑	37
见到	38
内力	39
少林	40
萧峰	41
脸上	42
姑娘	43
今日	44
两人	45
身子	46
话	47
跟着	48
身上	49
有人	50
站	51
兄弟	52
说话	53
岳不群	54
声音	55
问道	56
张翠山	57
吃	58
爹爹	59
甚	60
登时	61
问	62
赵敏	63
盈盈	64
左手	65
伸手	66
之下	67
谢逊	68
阿朱	69
手中	70
性命	71
乔峰	72
众	73
喝道	74
间	75
心下	76
一招	77
这位	78
功夫	79
大声	80
两个	81
丐帮	82
林平之	83
江湖	84
阿紫	85
岳灵珊	86
王语嫣	87
帮主	88
忙	89
少林寺	90
女子	91
一人	92
之间	93
右手	94
手	95
自然	96
双手	97
师哥	98
眼见	99
地下	100
字	101
慕容复	102
周芷若	103
听到	104
恒山	105
此刻	106
师妹	107
知	108
段正淳	109
喝	110
少女	111
忽	112
出手	113
木婉清	114
明白	115
厉害	116
和尚	117
低声	118
天下	119
本来	120
汉子	121
仪琳	122
高手	123
骂	124
胸口	125
点头	126
兵刃	127
真	128
敌人	129
田伯光	130
三人	131
却是	132
找	133
不错	134
大师	135
明教	136
夫妇	137
前辈	138
来到	139
不禁	140
非	141
救	142
掌门	143
不到	144
小子	145
这才	146
不肯	147
轻轻	148
一阵	149
想到	150
大理	151
之极	152
魔教	153
穴道	154
两位	155
坐	156
摇头	157
朋友	158
越	159
一惊	160
全身	161
少年	162
大哥	163
声响	164
前	165
武林中	166
适才	167
不住	168
华山派	169
鸠摩智	170
怎地	171
嵩山	172
老者	173
一笑	174
微笑	175
地道	176
一条	177
处	178
里	179
不用	180
一剑	181
当年	182
师兄	183
先	184
殷素素	185
帮	186
婆婆	187
须	188
只觉	189
起身	190
一眼	191
杨逍	192
想起	193
一句	194
之上	195
动手	196
点	197
武林	198
教	199
慢慢	200
抓住	201
受	202
半点	203
刺	204
契丹	205
任我行	206
五岳	207
向问天	208
大叫	209
华山	210
不见	211
之意	212
方丈	213
始终	214
师弟	215
游坦之	216
此人	217
再也	218
南海	219
瞧瞧	220
